Date,Soins normaux,Soins intensifs,Soins intensifs,[1.NbMorts],Sorties hôpital,Nb de positifs cumulé,Nb de positifs,Nb de tests effectués,Nb de tests effectués cumulés
24/02/2020,-,0,-,-,0,-,-,-,-
25/02/2020,-,0,-,-,0,-,-,-,-
26/02/2020,-,0,-,-,0,-,-,-,-
27/02/2020,-,0,-,-,0,-,-,-,-
28/02/2020,-,0,-,-,0,-,-,-,-
29/02/2020,-,0,-,-,0,-,-,-,-
01/03/2020,-,0,-,-,0,-,-,-,-
02/03/2020,-,0,-,-,0,-,-,-,-
03/03/2020,-,0,-,-,0,-,-,-,-
04/03/2020,-,0,-,-,0,-,-,-,-
05/03/2020,-,0,-,-,0,-,-,-,-
06/03/2020,-,0,-,-,0,-,-,-,-
07/03/2020,-,0,-,-,0,-,-,-,-
08/03/2020,-,0,-,-,0,-,-,-,-
09/03/2020,-,0,-,-,0,-,-,-,-
10/03/2020,-,0,-,-,3,-,-,-,-
11/03/2020,-,0,-,-,0,-,-,-,-
12/03/2020,-,0,-,-,1,-,-,-,-
13/03/2020,-,0,-,-,3,-,-,-,-
14/03/2020,-,0,-,-,0,-,-,-,-
15/03/2020,-,0,-,-,0,-,-,-,-
16/03/2020,-,0,-,-,4,-,-,-,-
17/03/2020,0,0,0,3,1,198,109,579,1512
18/03/2020,0,0,0,3,3,347,149,882,2394
19/03/2020,1,0,0,4,0,483,136,901,3295
20/03/2020,18,3,3,6,2,652,169,996,4291
21/03/2020,56,6,6,7,1,771,119,438,4729
22/03/2020,63,5,2,7,5,792,21,21,4750
23/03/2020,71,7,2,7,6,1011,219,1104,5854
24/03/2020,97,9,2,7,2,1185,174,886,6740
25/03/2020,128,21,14,9,2,1334,149,900,7640
26/03/2020,120,26,20,9,11,1536,202,4598,12238
27/03/2020,128,26,20,14,4,1689,153,1082,13320
28/03/2020,152,29,23,17,7,1786,97,824,14144
29/03/2020,160,27,21,21,1,1819,33,273,14417
30/03/2020,150,30,24,22,19,1956,137,1076,15493
31/03/2020,153,32,26,26,16,2042,86,936,16429
01/04/2020,154,33,27,27,11,2161,119,1180,17609
02/04/2020,171,40,30,28,8,2270,109,1341,18950
03/04/2020,167,45,35,29,19,2358,88,1214,20164
04/04/2020,173,43,33,34,13,2417,59,824,20988
05/04/2020,160,43,33,36,10,2448,31,551,21539
06/04/2020,160,41,31,38,16,2507,59,1050,22589
07/04/2020,159,41,31,43,11,2568,61,1020,23609
08/04/2020,168,43,33,46,9,2632,64,932,24541
09/04/2020,163,39,29,49,10,2690,58,864,25405
10/04/2020,165,38,28,54,17,2725,35,691,26096
11/04/2020,150,40,30,58,7,2732,7,309,26405
12/04/2020,161,40,31,62,2,2744,12,208,26613
13/04/2020,139,42,33,65,13,2747,3,82,26695
14/04/2020,140,43,34,68,17,2806,59,1374,28069
15/04/2020,124,44,35,68,10,2839,33,845,28914
16/04/2020,138,41,32,71,14,2865,26,960,29874
17/04/2020,124,39,30,71,11,2909,44,1032,30906
18/04/2020,136,40,31,74,8,2924,15,528,31434
19/04/2020,132,39,30,75,0,2927,3,191,31625
20/04/2020,130,39,31,78,20,2942,15,933,32558
21/04/2020,126,38,31,80,8,2966,24,754,33312
22/04/2020,125,35,28,81,8,2975,9,1141,34453
23/04/2020,112,30,24,84,10,2991,16,793,35246
24/04/2020,109,30,25,85,13,3008,17,1316,36562
25/04/2020,98,28,23,88,7,3020,12,610,37172
26/04/2020,100,25,20,88,4,3025,5,132,37304
27/04/2020,89,25,20,89,17,3034,9,769,38073
28/04/2020,92,25,22,89,17,3051,17,1728,39801
29/04/2020,78,27,24,90,8,3061,10,1889,41690
30/04/2020,67,27,24,92,9,3073,12,1971,43661
01/05/2020,79,28,25,93,3,3080,7,1395,45056
02/05/2020,74,27,24,96,3,3084,4,698,45754
03/05/2020,73,26,23,96,2,3088,4,240,45994
04/05/2020,71,25,22,98,6,3099,11,1042,47036
05/05/2020,81,23,20,98,12,3107,8,1283,48319
06/05/2020,75,24,21,100,4,3113,6,1435,49754
07/05/2020,67,19,16,100,5,3118,5,1324,51078
08/05/2020,75,18,15,101,10,3121,3,1320,52398
09/05/2020,68,17,14,101,5,3129,8,737,53135
10/05/2020,59,21,18,101,3,3130,1,213,53348
11/05/2020,56,23,22,102,1,3134,4,1050,54398
12/05/2020,57,23,22,103,4,3141,7,1396,55794
13/05/2020,59,12,11,103,7,3150,9,1207,57001
14/05/2020,63,12,11,104,3,3153,3,1294,58295
15/05/2020,50,16,15,105,2,3158,5,1277,59572
16/05/2020,42,14,13,106,5,3168,10,1018,60590
17/05/2020,38,9,8,106,1,3169,1,152,60742
18/05/2020,42,11,10,108,6,3181,12,1012,61754
19/05/2020,43,7,6,108,5,3188,7,1072,62826
20/05/2020,48,7,6,108,10,3195,7,1517,64343
21/05/2020,36,6,5,108,1,3195,0,788,65131
22/05/2020,37,9,8,108,8,3204,9,1220,66351
23/05/2020,27,8,7,109,0,3206,2,1215,67566
24/05/2020,28,5,4,109,0,3207,1,94,67660
25/05/2020,30,6,5,109,2,3209,2,946,68606
26/05/2020,38,5,4,110,1,3214,5,1329,69935
27/05/2020,29,5,4,110,2,3215,1,1207,71142
28/05/2020,25,5,4,110,2,3218,3,2003,73145
29/05/2020,25,4,3,110,4,3221,3,2204,75349
30/05/2020,23,4,3,110,2,3223,2,2017,77366
31/05/2020,24,4,3,110,2,3223,0,192,77558
01/06/2020,21,4,4,110,2,3224,1,423,77981
02/06/2020,20,2,2,110,2,3226,2,1593,79574
